Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2001-03-16,1150.53,1807.95,672.01,380.515,293,1498.32
2001-03-19,1170.81,1755.85,665.26,367.142,291.3,1507.52
2001-03-20,1142.62,1764.89,656.5,360.449,293.14,1491.54
2001-03-21,1122.14,1755.68,673.24,369.075,291.22,1471.56
2001-03-22,1117.58,1712.18,669.49,363.182,289.42,1466.23
2001-03-23,1139.83,1743.01,669.27,371.472,290.25,1431.57
2001-03-26,1152.69,1737.34,,,293.8,1448.37
2001-03-27,1182.17,1692.64,663.47,369.303,291.02,1446.99
2001-03-28,1153.29,1671.5,660.82,375.18,287.1,1451.55
2001-03-29,1147.95,1646.07,652.03,381.773,287.88,1430.16
2001-03-30,1160.33,1692.58,647.48,381.05,291.94,1446.4
2001-04-02,1145.87,1666.44,650.74,375.032,290.11,1439.05
2001-04-03,1106.46,1661.86,633.17,372.653,285.57,1452.26
2001-04-04,1103.25,1641.69,594.26,367.408,279.16,1452.15
2001-04-05,1151.44,1693.26,591.74,362.468,282.02,1460.67
2001-04-06,1128.43,1687.62,577.44,364.343,,1471.13
2001-04-09,1137.59,1606.38,553.34,362.276,278.25,
2001-04-10,1168.38,1612.96,555.49,369.197,279.54,1459.49
2001-04-11,1165.89,1620.67,567.88,367.156,282.37,1445.26
2001-04-12,1183.5,1585.75,566.47,365.983,291.28,
2001-04-13,,,581.37,,,
2001-04-16,1179.68,1592.38,581.37,363.211,,1453.84
2001-04-17,1191.81,1567.07,575.07,360.037,286.62,1435.68
2001-04-18,1238.16,1605.11,570.02,356.23,297.33,1425.97
2001-04-19,1253.7,1646.05,570.01,349.308,298.07,1428.87
2001-04-20,1242.98,1653.98,575.67,342.858,292.58,1428.54
2001-04-23,1224.36,1685.72,573.37,346.407,290.54,1437.16
2001-04-24,1209.47,1683.17,571.69,348.099,296.95,1444
2001-04-25,1228.75,1665.68,573,353.181,296.86,1462.18
2001-04-26,1234.52,1658.14,579.89,351.336,297.14,1437.5
2001-04-27,1253.05,1676.29,585.87,351.562,297.21,1420.36
